dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2021-07-12 01:46:03.000183,30,1253956,6526284,4.18,21.75,2188.08,18651.11,20839.20
2021-07-12 01:46:32.975473,30,1050224,4021076,3.50,13.40,1821.63,7115.00,8936.63
2021-07-12 01:47:02.935340,30,760652,4247976,2.54,14.16,1312.58,8412.30,9724.89
2021-07-12 01:47:32.910724,30,1820288,8172904,6.07,27.24,3261.61,30326.28,33587.89
2021-07-12 01:48:02.886014,30,2134772,10574376,7.12,35.25,3904.83,57875.34,61780.17
2021-07-12 01:48:32.846115,30,1799784,6655236,6.00,22.18,3220.99,18454.60,21675.59
2021-07-12 01:49:02.821823,30,2435504,9707696,8.12,32.36,4560.28,45559.57,50119.85
2021-07-12 01:49:32.781545,30,401300,3298796,1.34,11.00,692.04,6029.53,6721.57
2021-07-12 01:50:02.756745,30,633680,3042252,2.11,10.14,1092.41,4937.80,6030.21
2021-07-12 01:50:32.731769,30,2483372,8588548,8.28,28.63,4668.70,32914.30,37582.99
2021-07-12 01:51:02.692103,30,2776552,10662184,9.26,35.54,5359.87,57703.79,63063.66
2021-07-12 01:51:32.667273,30,2470148,10751580,8.23,35.84,4638.63,59751.73,64390.36
2021-07-12 01:52:02.642831,30,2558908,10555324,8.53,35.18,4842.23,56662.01,61504.24
2021-07-12 01:52:32.617885,30,1469248,4780316,4.90,15.93,2585.39,9186.67,11772.06
2021-07-12 01:53:02.577949,30,440940,3250812,1.47,10.84,760.20,5828.57,6588.77
2021-07-12 01:53:32.553253,30,3469972,10088240,11.57,33.63,7209.04,47809.57,55018.61
2021-07-12 01:54:02.528674,30,2854192,10084392,9.51,33.61,5551.21,49416.18,54967.39
2021-07-12 01:54:32.488732,30,1769900,6329660,5.90,21.10,3162.06,16450.01,19612.07
2021-07-12 01:55:02.463951,30,1522372,5046268,5.07,16.82,2685.29,10222.29,12907.58
2021-07-12 01:55:32.439440,30,1723872,9045440,5.75,30.15,3071.90,39304.97,42376.88
2021-07-12 01:56:02.399455,30,1941316,9004692,6.47,30.02,3504.51,38427.16,41931.67
2021-07-12 01:56:32.374699,30,1966236,6449940,6.55,21.50,3555.22,16800.68,20355.90
2021-07-12 01:57:02.334420,30,413252,3176216,1.38,10.59,712.59,5672.97,6385.56
2021-07-12 01:57:32.309888,30,5818092,12132108,19.39,40.44,16679.71,70886.09,87565.80
2021-07-12 01:58:02.285442,30,6269808,12447976,20.90,41.49,19249.85,74367.20,93617.05
2021-07-12 01:58:32.260784,30,2253676,6901672,7.51,23.01,4158.88,19186.88,23345.77
2021-07-12 01:59:02.220465,30,439388,3265228,1.46,10.88,757.53,5870.96,6628.49
2021-07-12 01:59:32.196005,30,6655680,12439008,22.19,41.46,21678.51,71762.63,93441.15
2021-07-12 02:00:02.171494,30,6312056,12410824,21.04,41.37,19504.98,73385.12,92890.10
2021-07-12 02:00:32.146622,30,2209428,6918872,7.36,23.06,4063.59,19402.34,23465.94
2021-07-12 02:01:02.106589,30,395064,3138604,1.32,10.46,681.32,5603.24,6284.56
2021-07-12 02:01:32.081865,30,1700408,4639744,5.67,15.47,3026.22,8176.91,11203.13
2021-07-12 02:02:02.041906,30,282504,3064636,0.94,10.22,487.84,5600.90,6088.75
2021-07-12 02:02:32.017210,30,1323392,4907968,4.41,16.36,2314.98,9992.26,12307.24
2021-07-12 02:03:01.976843,30,425800,2816252,1.42,9.39,734.16,4723.09,5457.25
2021-07-12 02:03:31.951834,30,393156,2961916,1.31,9.87,678.04,5144.79,5822.83
2021-07-12 02:04:01.911745,30,318940,2742216,1.06,9.14,550.48,4725.92,5276.40
